id,name,category,purchase_price,purchase_unit,usage_unit,conversion_factor,yield_percentage,current_price,status
637,Sysco Classic - Film Pvc Chloride Roll 2000 Feet Slide Cutter,Cleaning Supplies,20.5700,Case,,,,20.5700,inactive
638,Sysco Classic - Glove Nitrile Foodservice Powder-Free Black Large,Cleaning Supplies,84.7500,Case,,,,84.7500,inactive
639,Sysco Classic - Glove Nitrile Foodservice Powder-Free Black Medium,Cleaning Supplies,84.7500,Case,,,,84.7500,inactive
640,Sysco Classic - Liner Trash 24 Inch X 32 Inch 0.35 Mil Black Linear Low-Density Polyethylene (Lldpe),Cleaning Supplies,33.6500,Case,,,,33.6500,inactive
641,Sysco Classic - Liner Trash 38 Inch X 58 Inch 0.9 Mil Black Linear Low-Density Polyethylene (Lldpe),Cleaning Supplies,46.9500,Case,,,,46.9500,inactive
642,Sysco Classic - Spice - Cinnamon Ground,Ingredients,10.2300,Case,,,,10.2300,active
643,[MAPPED] Sysco Classic - Turkey Burger Savory White,Protein RTE,64.8500,Case,,,,64.8500,inactive
644,"Sysco Supplies - Pad Scour Green 6"" X 9"" Antimicrobial",Cleaning Supplies,13.6500,Case,,,,13.6500,active
645,[MAPPED] Trois Petits - Egg Bite Wtny Chs Canadian Bcn,Protein RTE,36.0600,Case,,,,36.0600,inactive
646,[MAPPED] Tropical - Coconut Flake Sweetened,Ingredients,40.8400,Case,,,,40.8400,inactive
647,[MAPPED] Wholesome Farms - Cream Heavy 40%,Dairy Products,50.8700,Case,,,,50.8700,inactive
648,Wholesome Farms - Creamer Half & Half,Dairy Products,56.8900,Case 12 × 32 oz,oz,384.000000,100.000,56.8900,active
649,Wholesome Farms - Creamer Half And Half Portion Control Aseptic,Dairy Products,31.8500,Case 384 units,unit,384.000000,100.000,31.8500,active
650,Wholesome Farms - Milk - Skim Fat Free,Dairy Products,13.9900,case 25 x 8 oz,oz,200.000000,100.000,13.9900,active
651,[MAPPED] A'Siciliana - Limonata Soda Can 11 Oz,resale_beverage,31.2000,case,None,24.000000,100.000,31.2000,inactive
652,A'Siciliana - Mandarin Soda Can 11 Oz,Beverages,31.2000,case,unit,24.000000,100.000,31.2000,active
653,"[MAPPED] Bindi - Cake - Tres Leches (4,4Oz.)",Bakery - Bindi (TOI),33.3400,case,,,,33.3400,inactive
654,[MAPPED] Sammy'S - Bagel - Everything,Bakery,27.0000,case,,,,27.0000,inactive
655,[MAPPED] Sammy'S - Bagel - Plain,Bakery,18.0000,case,,,,18.0000,inactive
656,Sammy'S - Cake - Lemon Pound,Bakery,7.4700,case 3 units,units,3.000000,100.000,7.4700,active
657,[MAPPED] Sammy'S - Cinnamon Bunn,Bakery,27.4800,case,,,,27.4800,inactive
658,[MAPPED] Sammy'S - Danish - Apple,Bakery,6.8700,case,,,,6.8700,inactive
659,[MAPPED] Sammy'S - Danish - Cheese,Bakery,27.4800,case,,,,27.4800,inactive
660,[MAPPED] Sammy'S - Danish - Cherry,Bakery,13.7400,case,,,,13.7400,inactive
661,[MAPPED] Sammy'S - Scone - Blueberry,Bakery,5.3800,case,,,,5.3800,inactive
