product;size;cost_usd;Real price
Iced Cappuccino;Large;2,530;6.25
Iced Latte;Small;2,140;5.85
Iced Latte;Medium;2,450;5.85
Iced Latte;Large;2,760;5.85
Iced Latte Chai Tea;Small;1,720;6.05
Iced Latte Chai Tea;Medium;1,890;6.05
Iced Latte Chai Tea;Large;2,060;6.05
Iced Latte Coconut;Small;2,340;7.95
Iced Latte Coconut;Medium;2,590;7.95
Iced Latte Coconut;Large;2,830;7.95
Iced Latte Macchiato;Small;2,140;6.55
Iced Latte Macchiato;Medium;2,420;6.55
Iced Latte Macchiato;Large;2,690;6.55
Iced Latte Matcha;Small;7,090;5.85
Iced Latte Matcha;Medium;8,530;5.85
Iced Latte Matcha;Large;9,970;5.85
Iced Matcha Coconut;Small;5,640;7.45
Iced Matcha Coconut;Medium;6,640;7.45
Iced Matcha Coconut;Large;7,640;7.45
Iced Mocha;Small;2,330;7.95
Iced Mocha;Medium;2,610;7.95
Iced Mocha;Large;2,890;7.95
Italian Rustic Sandwich;Standard;3,270;7.25
Latte Amaretto Amarena;Standard;0,900;7.95
Latte Chai Tea;Small;1,710;6.05
Latte Chai Tea;Medium;1,910;6.05
Latte Chai Tea;Large;2,110;6.05
Latte Dubai Chocolate;Standard;0,900;8.25
Latte Macchiato;Small;2,170;6.55
Latte Macchiato;Medium;2,490;6.55
Latte Macchiato;Large;2,800;6.55
Latte Matcha;Small;7,250;5.85
Latte Matcha;Medium;8,760;5.85
Latte Matcha;Large;10,270;5.85
Leek and Parmesan Danish;Standard;2,520;4.95
Lemon Danish;Standard;1,680;3.25
Macarons French;Standard;4,260;2.95
Maple Pecan Danish;Standard;2,000;4.95
Mini Dutch Pancakes;Standard;4,370;7.95
Mocha;Small;2,280;6.55
Mocha;Medium;2,580;6.55
Mocha;Large;2,880;6.55
Mocha Spiced;Standard;0,900;8.25
Natalie's Pineapple Cucumber and Celery;Standard;5,300;4.95
Orange Tropicana Juice;Standard;5,800;3.25
Parfait;Standard;0,900;4.65
Pesto Pomodoro Sandwich;Standard;4,610;11.95
Pinsa Perfetta;Standard;8,690;7.95
Pistachio Cheesecake;Standard;3,410;6.35
Pistachio Croissant;Standard;1,730;3.25
Pistachio Muffin;Standard;2,290;5,000
Plain Bagel;Standard;0,980;2.95
Prosciutto Royale Sandwich;Standard;5,560;9.95
Qargo Classic Sandwich;Standard;3,180;6.95
Raspberry Cream Cheese Danish;Standard;1,630;4.95
Red Velvet Cake;Standard;3,360;6.75
Ricotta and Pistachio Cake;Standard;4,310;8.95
Salmone Fresco Sandwich;Standard;12,400;14.95
Salmone Mattina Sandwich;Standard;6,510;12.95
San Pellegrino;Standard;1,340;3.45
San Pellegrino Aranciata;Standard;1,340;3.95
San Pellegrino Ciao Lime;Standard;0,460;2.95
San Pellegrino Limonata;Standard;1,340;3.95
Sandwich Caprese al Croissant;Standard;3,960;9.95
Seasoning Mix;Standard;4,040;0,000
Simply Orange Juice;Standard;5,800;3.45
Smoothie Berry Burst Fussion;Small;3,100;7.65
Smoothie Berry Burst Fussion;Medium;3,470;7.65
Smoothie Berry Burst Fussion;Large;3,830;7.65
Smoothie Mango Dreamsicle;Small;3,100;7.65
Smoothie Mango Dreamsicle;Medium;3,470;7.65
Smoothie Mango Dreamsicle;Large;3,840;7.65
Smoothie Pina Coco Lada;Small;3,240;7.65
Smoothie Pina Coco Lada;Medium;3,650;7.65
Smoothie Pina Coco Lada;Large;4,050;7.65
Soda Mango Colada;Small;2,160;7.45
Soda Mango Colada;Medium;2,380;7.45
Soda Mango Colada;Large;2,600;7.45
Soda Mother of Dragons;Small;1,990;7.45
Soda Mother of Dragons;Medium;2,170;7.45
Soda Mother of Dragons;Large;2,340;7.45
Soda Strawberries and Cream;Small;2,170;7.45
Soda Strawberries and Cream;Medium;2,350;7.45
Soda Strawberries and Cream;Large;2,540;7.45
Soda Watermelon Cooler;Small;2,020;7.45
Soda Watermelon Cooler;Medium;2,200;7.45
Soda Watermelon Cooler;Large;2,390;7.45
Spinach and Feta Danish;Standard;2,670;4.95
Spinach Kale and Cheese Croissant;Standard;1,900;4.95
Strawberry Cheesecake;Standard;3,570;6.95
Strawberry Danish;Standard;1,970;4.95
Stroopwafel;Standard;2,150;1.75
Tapioca Pearls;Standard;0,600;0,000
Tart Mixed Berry;Standard;4,670;8.55
Tiramisu;Standard;3,180;9.95
Tiramisu With Ladyfingers;Standard;3,980;5,000
Tomato and Olive Danish;Standard;2,670;4.95
Tres Leches Cake;Standard;3,010;5.45
Turkey Bacon al Fresco Sandwich;Standard;3,410;11.95
Turkey Bacon Classico Sandwich;Standard;10,800;11.5
Turkey Bacon Formaggio Sandwich;Standard;10,710;11.95
Vanilla Eclair;Standard;2,640;4.45
Vanilla Gelato;Standard;0,600;0,000
Veggie Caprese Sandwich;Standard;3,830;6.95
Waffles Belgian;Standard;6,170;7.95
Waffles Birthday Cake;Standard;2,100;7.95
Water Bottle Smart;Standard;1,250;2.5
