id,name,category,purchase_unit,purchase_qty_std,recipe_unit,unit_type,current_price,purchase_price,is_active
537,Two Cup Carrier,Cups / Paper / Disposables,case,1.000000,,each,180.0000,180.0000,True
538,Lotus - 1 Oz Dispenser Pump,Racks & Accesories,each,1.000000,,each,3.0000,3.0000,True
539,Lotus - 3 Bottle Rack,Racks & Accesories,piece,1.000000,,each,29.9900,29.9900,True
561,Pistachio Milk,Specialty Milks,case 12 x 32 oz,383.900000,fl oz,liquid,47.0000,47.0000,True
562,Soy Milk,Specialty Milks,case 12 x 32 oz,383.900000,fl oz,liquid,40.8000,40.8000,True
570,Mango & Thai Basil,Beverages,case 12 x 12 oz,12.000000,unit,each,27.0600,27.0600,True
573,Perfect Chocolatine,Bakery,case,60.000000,unit,each,58.1900,58.1900,True
591,Oil Olive,Ingredients,case,127.000000,fl oz,liquid,54.8900,54.8900,True
602,Margherita Bistro,Bakery,case,36.000000,unit,each,77.2200,77.2200,True
605,Milk Oat Barista,Specialty Milks,case,384.000000,fl oz,liquid,31.5000,31.5000,True
606,Guacamole Fresh Pico Blend Packaged,Ingredients,case,191.900000,oz,solid,51.6900,51.6900,True
608,Wiper Towel Pink Diamond 11.5 X 24 Dry,Cleaning Supplies,case,200.000000,unit,each,39.9900,39.9900,True
609,Sauce Hot Portion Control,Ingredients,case,200.000000,unit,each,15.9900,15.9900,True
610,Balsamic Glaze,Ingredients,case,105.000000,fl oz,liquid,30.0000,30.0000,True
611,Muffin Blueberry Thaw N Serve,Bakery,case,12.000000,unit,each,19.3900,19.3900,True
612,Muffin Cranberry Orange Thaw & Serve,Bakery,case,12.000000,unit,each,17.4500,17.4500,True
613,Sugar Packet Cane,Ingredients,case,2000.000000,unit,each,44.6900,44.6900,True
615,Coconut Jelly,Ingredients,unit,141.100000,oz,solid,26.4900,26.4900,True
617,Sweet Ground Chocolate Powder,Other,canister x 3 lb,48.000000,oz,solid,20.2100,20.2100,True
620,Sweet Ground Chocolate Powder 3lb,Other,canister x 3 lb,18.000000,oz,solid,20.2100,20.2100,True
621,Pistachios Roasted Chopped.,Ingredients,case x 1 kg,35.200000,oz,solid,47.8000,47.8000,True
622,Honey Pure Clover Grade a True Source Certifie,Ingredients,case 12 x 12 oz,144.000000,fl oz,liquid,55.1400,55.1400,True
623,Tomato Roma Jumbo Fresh,Produce,case x 25 lb,380.000000,slice,each,26.0400,26.0400,True
625,Biscoff Creamy Cookie Butter,Ingredients,Unit,1.000000,,each,17.4900,17.4900,True
629,Cookie Crumbs,Ingredients,case x 25 lb,399.900000,oz,solid,149.9100,149.9100,True
630,Spread Chocolate Hazelnut,Waffle,case 2 x 6.6 lb,211.100000,oz,solid,67.2100,67.2100,True
633,Dough Roll Cinnamon Twirl,Bakery,case x 100 units,100.000000,unit,each,98.6500,98.6500,True
635,Sugar Turbinado,Ingredients,case 1200 x 4.5 g,1200.000000,unit,each,34.6200,34.6200,True
636,Sugar Substitute Packet Yellow,Ingredients,case x 2000 units,2000.000000,unit,each,36.7900,36.7900,True
642,Cinnamon Ground,Ingredients,case,1.000000,,each,10.2300,10.2300,True
644,Pad Scour Green 6 X 9 Antimicrobial,Cleaning Supplies,case,1.000000,,each,13.6500,13.6500,True
648,Creamer Half & Half,Dairy Products,case 12 x 32 oz,384.000000,oz,solid,56.8900,56.8900,True
649,Creamer Half and Half Portion Control Aseptic,Dairy Products,case x 384 units,384.000000,unit,each,31.8500,31.8500,True
650,Milk No fat,Dairy Products,case 25 x 8 oz,200.000000,oz,solid,13.9900,13.9900,True
652,Mandarin Soda Can,Beverages,case,24.000000,unit,each,31.2000,31.2000,True
656,Lemon Pound,Bakery,case x 3 units,3.000000,unit,each,7.4700,7.4700,True
662,Bindi - Croissant - Glazed Pistachio - (85 G),Bakery,Case,,,each,45.2200,45.2200,True
663,"Le Chef Bakery - Bagel - Jalapeno & Cheddar Cheese, Slcd",Bakery,Case,,,each,12.6800,12.6800,True
664,Le Chef Bakery - Bagel - Sesame,Bakery,Case,,,each,11.4100,11.4100,True
665,"Le Chef Bakery - Ciabata - Rustic Plain 4"" X 4""",Bakery,Case,,,each,26.1600,26.1600,True
666,"Le Chef Bakery - Muffin - Banana, W/ Nutella",Bakery,Case,,,each,22.1300,22.1300,True
667,"Le Chef Bakery - Muffin - Churro, W/ Dulce De Leche",Bakery,case,,,each,22.1300,22.1300,True
668,"Le Chef Bakery - Muffin - Lemon, W/Raspberry",Bakery,case x 12 units,12.000000,unit,each,22.1200,22.1200,True
669,"Le Chef Bakery - Muffin - Morning Glory, Tulip Cup",Bakery,case,,,each,13.3500,13.3500,True
670,"Le Chef Bakery - Muffin - Zucchini, Chia, Pumpkin & Sunflower Seeds",Bakery,case,,,each,18.1300,18.1300,True
671,Lkp - Cup Sleeves,"Cups, Paper & Disposables",case,,,each,164.0000,164.0000,True
672,Lkp - Double Wall Cup 12 Oz,"Cups, Paper & Disposables",Case,,,each,106.0000,106.0000,True
673,Lkp - Double Wall Cup 8 Oz,"Cups, Paper & Disposables",case,,,each,152.0000,152.0000,True
674,"Lkp - Drinking Lid For 12 ,16 , 20 & 24 Oz (Cold Cups)","Cups, Paper & Disposables",case,,,each,105.0000,105.0000,True
675,"Lkp - Lids For Paper Cups 12 , 16 , 20 , 24 Oz (Hot Cups)","Cups, Paper & Disposables",case,,,each,105.0000,105.0000,True
676,Lkp - Pet Plastic Cups 12 Oz,"Cups, Paper & Disposables",case,,,each,169.0000,169.0000,True
677,Lkp - Pet Plastic Cups 24Oz,"Cups, Paper & Disposables",case,,,each,237.0000,237.0000,True
678,Lkp - Pet Plastic Cups 32 Oz,"Cups, Paper & Disposables",case,,,each,329.0000,329.0000,True
679,Lkp - Plastic Straw For Cold Drink 0.6*23Cm,"Cups, Paper & Disposables",Case,,,each,225.0000,225.0000,True
680,Lkp - Plastic Straw For Cold Drink 1.2*23Cm,"Cups, Paper & Disposables",case,,,each,129.0000,129.0000,True
681,Lkp - Plastic Straw For Hot Drink 0.8*23 Cm,"Cups, Paper & Disposables",case,,,each,225.0000,225.0000,True
682,Lkp - Single Wall Cup 24 Oz,"Cups, Paper & Disposables",case,,,each,248.0000,248.0000,True
683,Lkp - Single Wall Cup 4 Oz,"Cups, Paper & Disposables",case,,,each,98.0000,98.0000,True
684,Bindi - Cake - Mango Passion (4.02 Oz.),Bakery - Bindi (TOI),case,,,each,41.2500,41.2500,True
685,Bindi - Cake - Monterosa (3.81 Oz.),Bakery - Bindi (TOI),case,,,each,42.6700,42.6700,True
686,C'Est Gourmet - Croissant - Tomato Parmesan,Bakery,Case,,,each,130.7900,130.7900,True
687,C'Est Gourmet - Souffle - Spinach & Cheese (4.75 Oz.),Bakery,Case,,,each,106.6400,106.6400,True
688,C'Est Gourmet - Turnover - Peach,Bakery,Case,,,each,124.3200,124.3200,True
689,Kimbo (Nat) - Caffee Crema - (1 K - 35.2 Oz),Coffee - Kimbo,Case,,,each,386.9000,386.9000,True
690,Kimbo (Nat) - Extra Cream 1 Kg,Coffee - Kimbo,Case,,,each,190.4000,190.4000,True
691,Kimbo (Nat) - Filtro 100% Arabica,Coffee - Kimbo,Case,,,each,196.0000,196.0000,True
692,Kimbo (Nat) - Prestige 1 Kg,Coffee - Kimbo,Case,,,each,207.2000,207.2000,True
693,Bindi - Cake - Limoncello Mascarpone (3.81 Oz.),Bakery - Bindi (TOI),case,,,each,42.2000,42.2000,True
694,Bindi - Coppa Gelato - Cafe - (4 Oz.),Gelato,Case,,,each,29.1700,29.1700,True
695,Bindi - Coppa Gelato - Spagnola - (3.52 Oz.),Gelato,case,,,each,29.1700,29.1700,True
696,Bindi - Coppa Gelato- Pistachio - (3.52 Oz.),Gelato,case,,,each,29.1700,29.1700,True
697,Bindi - Croissant - Cream Filled - (3.35 Oz.),Bakery,Case,,,each,56.8700,56.8700,True
698,Bridor - Danish - Raspberry Cheesecake - 3.53 Oz,Bakery,case x 84 units,84.000000,unit,each,102.0700,102.0700,True
699,A'Siciliana - Blood Orange Soda Can 11 Oz,Beverages,case,,,each,31.2000,31.2000,True
700,A'Siciliana - Pomegranate Soda Can 11 Oz,Beverages,case,,,each,31.2000,31.2000,True
701,Arrezzio - Red Pepper - Fire Roasted Strips,Ingredients,Case,,,each,77.3600,77.3600,True
702,Banquet D'Or - Croissant -Butter Almond Filled - Large - (3.53 Oz.),Bakery,case,,,each,59.7300,59.7300,True
703,Banquet D'Or - Croissant Straight - Large - (2.82 Oz.) 1/70 Ct,Bakery,case,,,each,91.6000,91.6000,True
704,Banquet D'Or - Croissant Straight - Large - (3.17 Oz.),Bakery,case,,,each,179.8800,179.8800,True
705,Bbrlimp (Sysco) - Cheese - Mozzarella Sli. (0.75 Oz.),Dairy Products,Case,,,each,45.5400,45.5400,True
706,Bindi - Cheesecake - Mini Key Lime - Indiv. Portion (4.93 Oz.),Bakery - Bindi (TOI),case,,,each,48.3000,48.3000,True
707,Bindi - Creme Brulee In Ramekin - (4.05 Oz.),Bakery,case,,,each,53.9500,53.9500,True
708,Bindi - Croissant - Glazed Apricot - (3.35 Oz.),Bakery,Case,,,each,53.0200,53.0200,True
709,Bindi - Donut - Croissant Style Ciambella Donut (2.82 Oz.),Bakery,case,,,each,40.9500,40.9500,True
710,Bridor - Caramel Almond Delicacy (3.17 Oz.),Bakery,case,,,each,61.1200,61.1200,True
711,Califia Farms - (Food Related) - Oat Milk - 32 Oz.,Specialty Milks,case,,,each,39.9800,39.9800,True
712,Celsius - Drink Energy - Orange Sparkling,Beverages,Case,,,each,28.7500,28.7500,True
713,Pregel - Pistachio Paste (Bucket),Gelato,case,,,each,628.2600,628.2600,True
714,Rieme - Sparkling Drink - Blood Orange (11 Oz.),Beverages,eacg,,,each,2.1700,2.1700,True
715,Rieme - Sparkling Drink -Grapefruit (11 Oz.),Beverages,unit,,,each,2.1500,2.1500,True
716,Tribeca - Ciabatta 16.8 Oz,Bakery,Case,,,each,54.0800,54.0800,True
717,Arrezzio - Sauce Pesto Basil W/ Nuts (32 Oz),Ingredients,case,,,each,116.0800,116.0800,True
718,Bindi - Cake - Mini Red Velvet Cake (3.84 Oz.),Bakery - Bindi (TOI),case,,,each,74.1300,74.1300,True
719,Block & Barrel - Cheese - Cheddar - Mild Sliced,Dairy Products,piece,,,each,48.1200,48.1200,True
720,Califia - Oat Milk - Barista (32 Fl. Oz. / Cs. 12),Specialty Milks,Cs,,,each,39.6000,39.6000,True
721,Celsius - Drink Energy - Mango Passion,Beverages,Case,,,each,19.9900,19.9900,True
722,Dannon - Yogurt - Plain Greek Non-Fat (32 Oz.),Dairy Products,case,,,each,36.3900,36.3900,True
723,"Fabbri - Base Nevepann Belpanna 100Cf- Bags 2,500Kg (5.5 Lb)",Gelato,Bag,,,each,80.4900,80.4900,True
724,"Fabbri - Delipaste Amarena - Tins 1,500Kg (3.3 Lb)",Gelato,Piece,,,each,60.9400,60.9400,True
725,"Fabbri - Delipaste Mango Eu - Tins 1,500Kg (3.3 Lb)",Gelato,Piece,,,each,55.9900,55.9900,True
726,"Fabbri - Delipaste Vanilla Super - Tins 1,500Kg (3.3 Lb)",Gelato,Piece,,,each,57.3400,57.3400,True
727,Galbani - Cheese - Mozzarella Fresh Sliced Thin (16 Oz),Dairy Products,case,,,each,43.9900,43.9900,True
728,Local (Oh) - Muffin - Banana Nut 12 Pk,Bakery,case,,,each,20.6000,20.6000,True
729,Local (Oh) - Muffin - Chocolate Chip 12 Pk,Bakery,case,,,each,20.6000,20.6000,True
730,Local (Oh) - Muffin - Coffee Cake 12 Pk,Bakery,case,,,each,20.6000,20.6000,True
731,Local (Oh) - Muffin - Cran Apple 12 Pk,Bakery,case,,,each,20.6000,20.6000,True
732,Local (Oh) - Muffin - Red Velvet 12 Pk,Bakery,case,,,each,20.6000,20.6000,True
733,Mccornick - Red Pepper - Crushed (13 Oz.),Ingredients,case,,,each,79.5000,79.5000,True
734,Sammy'S - Bagel - Cinnamon Raising (12 X 4 Oz.),Bakery,case,,,each,27.0000,27.0000,True
735,Sammy'S - Cake - Original Crumb,Bakery,case,,,each,9.1600,9.1600,True
736,Sammy'S - Cake - Plain Pound,Bakery,case,,,each,4.9800,4.9800,True
737,Sammy'S - Cookies - Black & White,Bakery,case,,,each,8.3700,8.3700,True
738,Sammy'S - Danish - Raspberry,Bakery,case x 4 units,4.000000,unit,each,9.1600,9.1600,True
739,Sammy'S - Muffin - Banana Nut (5 Oz.),Bakery,piece,,,each,2.2900,2.2900,True
740,Sammy'S - Muffin - Chocolate Chip (5 Oz.),Bakery,piece,,,each,2.2900,2.2900,True
741,Sammy'S - Muffin - Cinnamon Coffee (5 Oz.),Bakery,Piece,,,each,2.2900,2.2900,True
742,Sammy'S - Turnover - Apple,Bakery,case,,,each,4.5800,4.5800,True
743,Wholesome Farms - Butter Cup Usda Aa,Dairy Products,case,,,each,37.2100,37.2100,True
744,Oatly - (Food Related) - Oat Milk - 32 Oz.,Specialty Milks,piece,,,each,39.4100,39.4100,True
745,Bindi - Cheesecake - Mini Pumpkin - (0.69 Oz.),Bakery - Bindi (TOI),case,,,each,50.6700,50.6700,True
746,Pure Leaf/Lipton - Tea - Sweet Iced Tea W Lemon,Beverages,case,,,each,22.7700,22.7700,True
747,Pure Leaf/Lipton - Tea - Unsweetened Iced,Beverages,case,,,each,22.7900,22.7900,True
748,Pure Leaf/Lipton - Tea - Sweet Iced,Beverages,case,,,each,22.7900,22.7900,True
