id,name,category,purchase_unit,purchase_qty_std,recipe_unit,unit_type,current_price,purchase_price,is_active
67,Bread,bakery,unit,24.000000,loave,each,24.9400,24.9400,True
68,Focaccia,bakery,case x 55 units,55.000000,unit,each,63.9600,63.9600,True
69,Pinsa,bakery,case x 40 units,40.000000,unit,each,81.3900,81.3900,True
70,Pinsa Margherita,bakery,case x 10 units,10.000000,unit,each,64.2000,64.2000,True
71,Plain Bagel,bakery,case x 48 units,48.000000,unit,each,18.0000,18.0000,True
72,Everything Bagel,bakery,case 48 x 4 oz,48.000000,unit,each,27.0000,27.0000,True
73,Cinnamon Raisin Bagel,bakery,case,36.000000,unit,each,27.0000,27.0000,True
74,Chocolate Croissant,bakery,unit,48.000000,unit,each,61.5100,61.5100,True
75,All Butter Croissant,bakery,unit,50.000000,unit,each,53.9400,53.9400,True
76,Almond Croissant,bakery,case,50.000000,unit,each,56.6300,56.6300,True
77,Pistachio Croissant,bakery,case x 40 units,40.000000,unit,each,45.2200,45.2200,True
78,Glazed Apricot Croissant,bakery,case x 50 units,50.000000,unit,each,56.8700,56.8700,True
79,Spinach Kale and Cheese Croissant,bakery,unit,1.000000,unit,each,1.3000,1.3000,True
80,Doughnut Croissant,bakery,case,60.000000,unit,each,105.6700,105.6700,True
81,Spinach and Feta Danish,bakery,case x 36 units,36.000000,unit,each,74.5900,74.5900,True
82,Cheese Danish,bakery,case,12.000000,unit,each,27.4800,27.4800,True
83,Maple Pecan Danish,bakery,case x 40 units,40.000000,unit,each,55.9900,59.9900,True
84,Apple Butter Danish,bakery,case,60.000000,unit,each,92.2100,92.2100,True
86,Cherry Greek Yogurt Danish,bakery,case,60.000000,unit,each,13.7400,13.7400,True
87,Blueberry Cheesecake Danish,bakery,case,84.000000,unit,each,101.9900,101.9900,True
88,Leek and Parmesan Danish,bakery,case x 36 units,36.000000,unit,each,68.9900,68.9900,True
89,Lemon Danish,bakery,case x 84 units,84.000000,unit,each,90.9900,90.9900,True
90,Guava Danish,bakery,case x 84 units,84.000000,unit,each,49.9900,49.9900,True
91,Apple Square Danish,bakery,case,60.000000,unit,each,6.8700,6.8700,True
92,Tomato and Olive Danish,bakery,case x 36 units,36.000000,unit,each,74.5900,74.5900,True
93,Strawberry Danish,bakery,case x 84 units,84.000000,unit,each,115.2300,115.2300,True
94,Berries and Cream Twist Danish,bakery,case,6.000000,unit,each,10.7400,10.7400,True
96,Cheese Square Danish,bakery,case,66.000000,unit,each,113.1000,113.1000,True
97,Cinnamon Roll,bakery,case,24.000000,unit,each,58.7000,58.7000,True
98,Blueberry Scone,bakery,case,12.000000,unit,each,5.3800,5.3800,True
99,Chocolate Chip Cookie,bakery,case,80.000000,unit,each,79.9900,79.9900,True
100,Chocolate Chip Muffin,bakery,case,12.000000,unit,each,14.9400,14.9400,True
101,Pistachio Muffin,bakery,case x 20 units,20.000000,unit,each,33.7300,33.7300,True
102,Banana Nut Muffin,bakery,case,12.000000,unit,each,14.9400,14.9400,True
103,Cacao Muffin,bakery,case,20.000000,unit,each,33.7300,33.7300,True
104,Chocolate Eclair,bakery,case,14.000000,unit,each,28.4900,28.4900,True
105,Vanilla Eclair,bakery,case x 14 units,14.000000,unit,each,28.4900,28.4900,True
106,Coffee Eclair,bakery,case,14.000000,unit,each,28.4900,28.4900,True
107,Tart Mixed Berry,bakery,case x 12 units,12.000000,unit,each,45.2400,45.2400,True
108,Macarons French,bakery,case x 48 units,48.000000,unit,each,161.2800,161.2800,True
109,Tiramisu,bakery,case x 15 units,15.000000,unit,each,41.0400,41.0400,True
110,Tiramisu with Ladyfingers,bakery,case x 15 units,15.000000,unit,each,46.1400,46.1400,True
114,Chocolate Temptation Cake,bakery,case,12.000000,unit,each,44.8100,44.8100,True
115,Carrot Cake,bakery,case,16.000000,unit,each,48.1000,48.1000,True
116,Cappuccino Cake,bakery,case,12.000000,unit,each,37.3900,37.3900,True
117,Cake Torta Nocciola,bakery,case,10.000000,unit,each,35.0500,35.0500,True
118,Chocolate Fondant Cake,bakery,case,16.000000,unit,each,48.9700,48.9700,True
119,Tres Leches Cake,bakery,case x 15 units,15.000000,unit,each,31.7200,31.7200,True
120,Red Velvet Mini Gluten Free Cake,bakery,case x 16 units,16.000000,unit,each,74.1300,74.1300,True
121,Ricotta and Pistachio Cake,bakery,case x 12 units,12.000000,unit,each,40.9300,40.9300,True
122,Pistachio Cheesecake,bakery,case x 16 units,16.000000,unit,each,42.1700,42.1700,True
123,Dulce de Leche Cheesecake,bakery,case,16.000000,unit,each,41.3900,41.3900,True
124,Strawberry Cheesecake,bakery,case x 14 units,14.000000,unit,each,39.3400,39.3400,True
125,Chocolate Ganache Cheesecake,bakery,case,16.000000,unit,each,42.2200,42.2200,True
126,Brownie Cheesecake,bakery,case,24.000000,unit,each,53.4100,53.4100,True
127,Acqua Panna,resale_beverage,unit,24.000000,unit,each,36.9500,36.9500,True
128,San Pellegrino,resale_beverage,case 24 x 500 ml,24.000000,unit,each,25.0000,25.0000,True
129,San Pellegrino Aranciata,resale_beverage,case 24 x 11.5 oz,24.000000,unit,each,24.9900,24.9900,True
130,San Pellegrino Ciao Lime,resale_beverage,case x 6 units,6.000000,unit,each,0.9900,0.9900,True
131,San Pellegrino Limonata,resale_beverage,case 24 x 11.5 oz,24.000000,unit,each,24.9900,24.9900,True
132,A Siciliana Aranciata,resale_beverage,case,24.000000,unit,each,24.9900,24.9900,True
133,A Siciliana Limonata,resale_beverage,case,24.000000,unit,each,31.2000,31.2000,True
134,A Siciliana Mandarino,resale_beverage,case,24.000000,unit,each,31.2000,31.2000,True
135,A Siciliana Melograno,resale_beverage,case,19.000000,unit,each,31.2000,31.2000,True
136,Bundaberg Ginger Beer,resale_beverage,unit,1.000000,unit,each,1.5000,1.5000,True
137,Apple Juice,resale_beverage,case,12.000000,unit,each,36.8600,36.8600,True
138,Black River Pear Juice,resale_beverage,unit,1.000000,unit,each,2.5000,2.5000,True
139,Five Star Apple Juice,resale_beverage,unit,1.000000,unit,each,3.0000,3.0000,True
140,Five Star Cranberry Juice,resale_beverage,unit,1.000000,unit,each,3.0000,3.0000,True
141,Five Star Orange Juice,resale_beverage,unit,1.000000,unit,each,3.0000,3.0000,True
142,Five Star Pineapple Juice,resale_beverage,unit,1.000000,unit,each,3.0000,3.0000,True
143,Orange Tropicana Juice,resale_beverage,unit,1.000000,unit,each,5.5000,5.5000,True
144,Apple Tropicana Juice,resale_beverage,case,24.000000,unit,each,31.2000,31.2000,True
145,Simply Orange Juice,resale_beverage,unit,1.000000,unit,each,5.5000,5.5000,True
146,Natalie's Pineapple Cucumber and Celery,resale_beverage,unit,1.000000,unit,each,5.0000,5.0000,True
147,Energy Drink Celsius Orange,resale_beverage,case 12 x 12 oz,12.000000,unit,each,28.7500,28.7500,True
148,Energy Drink Celsius Watermelon,resale_beverage,case 12 x 12 oz,12.000000,unit,each,23.1000,23.1000,True
149,Energy Drink Celsius Mango Lemonade,resale_beverage,case 12 x 12 oz,12.000000,unit,each,28.6900,28.6900,True
150,Energy Drink Celsius Peach Vibe,resale_beverage,case 12 x 12 oz,12.000000,unit,each,28.6900,28.6900,True
151,Energy Drink Celsius Tropical Vibe,resale_beverage,case 12 x 12 oz,12.000000,unit,each,28.7500,28.7500,True
152,Energy Drink Celsius Wildberry,resale_beverage,case 12 x 12 oz,12.000000,unit,each,26.7500,26.7500,True
153,Energy Drink Celsius Artic Vibe,resale_beverage,case 12 x 12 oz,12.000000,unit,each,28.7500,28.7500,True
154,Energy Drink Celsius Kiwi Guava,resale_beverage,case 12 x 12 oz,12.000000,unit,each,23.0900,23.0900,True
155,Energy Drink Celsuis Strawberry Lemonade,resale_beverage,case 12 x 12 oz,12.000000,unit,each,28.6900,28.6900,True
156,Water Bottle Smart,resale_beverage,unit,1.000000,unit,each,0.9500,0.9500,True
157,Flavored Water Mango Pineapple Splash,resale_beverage,unit,1.000000,unit,each,1.5000,1.5000,True
158,Espresso,coffee,case 6 x 1 kg,211.600000,oz,solid,188.1600,188.1600,True
159,Ice Cubes,beverages,bottle x 1 l,33.800000,oz,solid,0.5000,0.5000,True
160,Whipped Cream,dairy,case 10 x 14 oz,140.000000,oz,solid,24.9500,24.9500,True
161,Beef Pepperoni,specialty,case 2 x 5 lb,160.000000,oz,solid,110.9900,110.9900,True
162,Salt,specialty,case x 26 oz,24.900000,oz,solid,2.4900,2.4900,True
163,Brewed Tea,tea,case x 3 gal,384.000000,fl oz,liquid,0.2500,0.2500,True
164,Cappuccino Foam,dairy,case x 1 gal,128.000000,oz,solid,4.8700,4.8700,True
165,Cold Foam Coconut,dairy,case 12 x 32 oz,383.900000,fl oz,liquid,40.6900,40.6900,True
166,Tiramisu Toasted Almond,bakery,case x 15 units,15.000000,unit,each,41.0400,41.0400,True
167,All Butter Curved Croissant,bakery,case,50.000000,unit,each,68.9700,68.9700,True
168,All Butter Curved Mini Croissant,bakery,case,150.000000,unit,each,77.5900,77.5900,True
169,Vegan Croissant,bakery,case x 48 units,48.000000,unit,each,67.4400,67.4400,True
170,Multigrain Muffin,bakery,case x 20 units,20.000000,unit,each,33.7300,33.7300,True
171,Strawberry Sprint,specialty,case 8 x 1.32 kg,373.000000,oz,solid,193.7100,193.7100,True
172,White Base Sprint,specialty,case x 12 units,390.000000,oz,solid,180.4100,180.4100,True
173,Pineapple Syrup,syrups,bottle x 1 l,33.800000,fl oz,liquid,11.9900,11.9900,True
174,Avocado Cheesecake,bakery,case 8 units,8.000000,unit,each,4.9900,4.9900,True
175,Chocolate Mousse Glass,bakery,case x 12 units,1.000000,unit,each,4.4700,4.4700,True
176,Chocolate Truffle Cake,bakery,case,12.000000,unit,each,107.5200,107.5200,True
177,Blueberry and Chocolate Chips Vegan Croissant,bakery,case x 48 units,48.000000,unit,each,67.4400,67.4400,True
178,Raspberry Passion Fruit Cake,bakery,case 12 x 4.1 oz,12.000000,unit,each,41.7500,41.7500,True
179,Sicilian Cannoli,bakery,case x 10 units,10.000000,unit,each,36.3100,36.3100,True
180,Pistachio Profiteroles,bakery,case x 24 units,24.000000,unit,each,39.5300,39.5300,True
181,Traditional Cheesecake,bakery,case x 14 units,14.000000,unit,each,32.2100,32.2100,True
182,Truffle Royale Cake,bakery,case x 14 units,14.000000,unit,each,44.5000,44.5000,True
183,Muffin Classico,bakery,case x 20 units,21.000000,unit,each,33.7300,33.7300,True
184,Chocolate Sprint,gelato_paste,case x 12 units,423.000000,oz,solid,204.1600,204.1600,True
185,Lemon Blueberry Crumb Cheesecake,bakery,case x 16 units,1.000000,unit,each,2.5000,2.5000,True
237,A'siciliana Pomegranate,Beverages,case,24.000000,unit,each,31.2000,31.2000,True
238,A'siciliana Blood Orange,Beverages,case,24.000000,unit,each,31.2000,31.2000,True
243,Cake Limoncello Mascarpone,TOI - Bindi,case,12.000000,unit,each,42.2000,42.2000,True
245,Cheesecake Mini Key Lime,TOI - Bindi,case,16.000000,unit,each,48.3000,48.3000,True
246,Ciabattina Rustica,Bakery,case,34.000000,unit,each,39.4500,39.4500,True
248,Croissant Glazed Pistachio,Bakery,case,40.000000,unit,each,45.2200,45.2200,True
251,Maritizzo,TOI - Bindi,case,12.000000,unit,each,41.5800,41.5800,True
252,Mini Pain Au Chocolat,TOI - Bindi,case,150.000000,unit,each,86.7000,86.7000,True
261,Mini Danish Assortment,Bakery,case,80.000000,unit,each,53.0000,53.0000,True
265,Berry Wild,Beverages,case,12.000000,unit,each,28.7500,28.7500,True
266,Kiwi Guava,Beverages,case,12.000000,unit,each,28.7500,28.7500,True
270,Muffin Pumpkin Cheese,Bakery,case,12.000000,unit,each,17.4500,17.4500,True
275,Caramel Flavoring Sauce,Other,bottle x 64 oz,64.000000,fl oz,liquid,19.6000,19.6000,True
277,Vanilla Flavored Frappe Beverage Base,Other,canister x 3 lb,48.000000,oz,solid,20.2100,20.2100,True
278,White Chocolate Flavoring Sauce,Other,bottle x 64 oz,64.000000,fl oz,liquid,19.6000,19.6000,True
281,Just Bagels Bagel Cheese Asiago,Bakery,case 8 x 6 units,48.000000,unit,each,56.7500,56.7500,True
313,Caramel Sugar Free Syrup,Syrups - Monin,bottle x 750 ml,25.300000,fl oz,liquid,6.7500,6.7500,True
314,Caramel Syrup,Syrups - Monin,bottle x 750 ml,25.300000,fl oz,liquid,6.7500,6.7500,True
315,Cinnamon Syrup,Syrups - Monin,bottle x 750 ml,25.300000,fl oz,liquid,6.7500,6.7500,True
317,Lavender Syrup,Syrups - Monin,bottle x 750 ml,25.300000,fl oz,liquid,6.7500,6.7500,True
318,Pistachio Syrup,Syrups - Monin,bottle x 750 ml,25.300000,fl oz,liquid,6.7500,6.7500,True
319,Pure Cane Syrup,Syrups - Monin,bottle x 750 ml,25.300000,fl oz,liquid,6.7500,6.7500,True
323,Pregel Butter Pecan,Gelato,case 12 x 1.81 lb,347.520000,oz,solid,174.7800,174.7800,True
324,Pregel Mango Sprint,Gelato,case 12 x 1.1 kg,465.600000,oz,solid,216.5500,216.5500,True
325,Pregel Pistachio Paste,Gelato,case 2 x 2.5 kg,176.370000,oz,solid,628.2600,628.2600,True
339,Bagel Sesame,Bakery,case x 12 units,12.000000,unit,each,11.4100,11.4100,True
343,Croissant Butter All Natural,Bakery,case x 14 units,14.000000,unit,each,15.7400,15.7400,True
352,Muffin Lemon With raspberry,Bakery,case x 12 units,12.000000,unit,each,22.1200,22.1200,True
353,Muffin Morning Glory,Bakery,case x 16 units,16.000000,unit,each,13.3500,13.3500,True
354,Muffin Zucchini. Chia. Pumpkin and Sunflower Seeds,Bakery,case x 12 units,12.000000,unit,each,18.1300,18.1300,True
356,Jalapeno & Cheddar Cheese. Slcd,Bakery,case x 12 units,12.000000,unit,each,12.6800,12.6800,True
358,Rustic Plain 4 X 4,Bakery,case x 36 units,36.000000,unit,each,26.1600,26.1600,True
361,Bear Claws,Bakery,tray x 11 units,11.000000,unit,each,19.7900,19.7900,True
365,Banana. W/ Nutella,Bakery,case x 12 units,12.000000,unit,each,22.1300,22.1300,True
366,Blueberry,Bakery,tray x 8 units,8.000000,unit,each,2.2900,2.2900,True
367,Churro. W/ Dulce de Leche,Bakery,case x 12 units,12.000000,unit,each,22.1300,22.1300,True
369,Orange Cranberry Tulip Cup,Bakery,tray x 8 units,8.000000,unit,each,14.9400,14.9400,True
370,Original Bran,Bakery,case x 12 units,12.000000,unit,each,14.9400,14.9400,True
371,Lemon,Bakery,case x 12 units,12.000000,unit,each,20.6000,20.6000,True
373,Mixed Berry,Bakery,tray x 15 units,15.000000,unit,each,21.8900,21.8900,True
374,Cinnamon Crumb,Bakery,piece 12 x 2 loaves,24.000000,loave,each,24.9400,24.9400,True
375,Caramel Sugar Free Syrup Case 4L,Syrups - Monin,case 4 x 1 l,135.200000,fl oz,liquid,38.1300,38.1300,True
376,Cookie Butter Syrup,Syrups - Monin,case 4 x 1 l,135.200000,fl oz,liquid,38.5700,38.5700,True
377,Hazelnut Sugar Free Syrup,Syrups - Monin,case 4 x 1 l,135.200000,fl oz,liquid,38.3500,38.3500,True
378,Lavender Syrup Case 4L,Syrups - Monin,case 4 x 1 l,135.200000,fl oz,liquid,33.8900,33.8900,True
379,Macadamia Nut Syrup,Syrups - Monin,case 4 x 1 l,135.200000,fl oz,liquid,34.0100,34.0100,True
380,Pistachio Syrup Case 4L,Syrups - Monin,case 4 x 1 l,135.200000,fl oz,liquid,36.5600,36.5600,True
381,Pure Cane Syrup Case 4L,Syrups - Monin,case 4 x 1 l,135.200000,fl oz,liquid,31.8400,31.8400,True
382,Strawberry Syrup,Syrups - Monin,bottle x 1 l,33.800000,fl oz,liquid,6.4700,6.4700,True
383,Toasted Marshmallow Syrup,Syrups - Monin,case 4 x 1 l,135.200000,fl oz,liquid,37.4500,37.4500,True
386,Yuzu Syrup,Syrups - Monin,case 4 x 1 l,135.200000,fl oz,liquid,70.6700,70.6700,True
389,Cheesecake Mini Pumpkin,TOI - Bindi,case,16.000000,unit,each,50.6700,50.6700,True
390,Poppi Cherry Limeade Prebiotic,Beverages,case 12 x 12 oz,12.000000,unit,each,21.7900,21.7900,True
391,Poppi Raspberry Rose Prebiotic,Beverages,case 12 x 12 oz,12.000000,unit,each,21.7900,21.7900,True
392,Poppi Strawberry Lemon Prebiotic,Beverages,case 12 x 12 oz,12.000000,unit,each,21.7900,21.7900,True
394,Tea Unsweetened Iced,Beverages,case 12 x 18.5 oz,12.000000,unit,each,22.7900,22.7900,True
395,Tea Sweet Iced,Beverages,case 12 x 18.5 oz,12.000000,unit,each,22.7900,22.7900,True
396,Cake Lemon Mousse,TOI - Bindi,case,14.000000,unit,each,38.5000,38.5000,True
397,Cake Mango Passion,TOI - Bindi,case,14.000000,unit,each,41.2500,41.2500,True
398,Cake Monterosa,TOI - Bindi,case,12.000000,unit,each,42.6700,42.6700,True
399,Croissant Plain Vegan,Bakery,case,40.000000,unit,each,56.9500,56.9500,True
400,Chocolate Twist,Bakery,case,80.000000,unit,each,114.9000,114.9000,True
406,Croissant Tomato Parmesan,Bakery,case,72.000000,unit,each,130.7900,130.7900,True
408,Souffle Spinach and Cheese,Bakery,case,30.000000,unit,each,106.6400,106.6400,True
409,Turnover Blueberry Turnover,Bakery,case,60.000000,unit,each,132.4800,132.4800,True
410,Turnover Peach,Bakery,case,60.000000,unit,each,124.3200,124.3200,True
411,C'est Gourmet Kouign Amann,Bakery,case,40.000000,unit,each,84.1500,84.1500,True
413,Pistachio Milk Barista Specialty,Specialty Milks,case,383.900000,fl oz,liquid,47.0000,47.0000,True
414,Soy Milk Barista Specialty,Specialty Milks,case 12 x 32 oz,383.900000,fl oz,liquid,28.0000,28.0000,True
415,Daily Greens Juice,Beverages,case 6 x 15.2 oz,6.000000,unit,each,28.9100,28.9100,True
416,Daily Roots + Ginger Juice,Beverages,case 6 x 15.2 oz,6.000000,unit,each,27.6000,27.6000,True
417,Orange Juice,Beverages,case 6 x 15.2 oz,6.000000,unit,each,27.2300,27.2300,True
418,Vitality Shot,Beverages,case 24 x 2 oz,24.000000,unit,each,74.8400,74.8400,True
419,Wellness Shot,Beverages,case 24 x 2 oz,24.000000,unit,each,74.8400,74.8400,True
420,Oregon Spearmint & Peppermint Herbal Tea / 20 Ct,Tea,case 6 x 20 units,120.000000,unit,each,32.4000,32.4000,True
421,Cucumber,Beverages,case 12 x 12 oz,12.000000,unit,each,22.0300,22.0300,True
423,Ginger & Key Lime,Beverages,case 12 x 12 oz,12.000000,unit,each,27.0600,27.0600,True
424,Hibiscus & Rose,Beverages,case 12 x 12 oz,13.000000,unit,each,22.0300,22.0300,True
425,Orange + Mandarin,Beverages,case 12 x 12 oz,12.000000,unit,each,27.0000,27.0000,True
426,Pineapple & Pink Grapefruit,Beverages,case 12 x 12 oz,12.000000,unit,each,23.2400,23.2400,True
427,Sic Lemon Iced Tea,Beverages,case 12 x 12 oz,12.000000,unit,each,27.0300,27.0300,True
429,Cranberry X,Beverages,case x 12 units,12.000000,unit,each,36.8600,36.8600,True
430,Mango X,Beverages,case x 12 units,12.000000,unit,each,37.4400,37.4400,True
431,Orange X,Beverages,case x 12 units,12.000000,unit,each,36.5000,36.5000,True
432,Pear X,Beverages,case x 12 units,12.000000,unit,each,38.5400,38.5400,True
433,Pineapple X,Beverages,case x 12 units,12.000000,unit,each,37.4400,37.4400,True
436,Brownie,Bakery,case,12.000000,unit,each,21.6100,21.6100,True
439,Cusanos Bagel Jalapeno Cheddar Sliced,Bakery,case,12.000000,unit,each,16.9800,16.9800,True
442,Cusanos Ciabatta Med,Bakery,case,12.000000,unit,each,13.9800,13.9800,True
444,Rasp. Lemon Sugar Tulip,Bakery,case,12.000000,unit,each,23.0500,23.0500,True
445,Cusanos Quesito Lg Ind,Bakery,case,12.000000,unit,each,33.0800,33.0800,True
446,Coppa Gelato Cafe,Gelato,case,6.000000,unit,each,29.1700,29.1700,True
447,Coppa Gelato Spagnola,Gelato,case,6.000000,unit,each,29.1700,29.1700,True
448,Coppa Gelato Pistachio,Gelato,case,6.000000,unit,each,29.1700,29.1700,True
449,Croissant Cream Filled,Bakery,case,50.000000,unit,each,56.8700,56.8700,True
450,Turnover Apple,Bakery,case,48.000000,unit,each,70.7300,70.7300,True
451,Caramel Pecan Bar,Bakery,case,21.000000,unit,each,60.2900,60.2900,True
452,Mini Bomboloni Cocoa & Hazelnut,Bakery,case,104.000000,unit,each,63.6400,63.6400,True
455,Danish Raspberry Cheesecake,Bakery,case,84.000000,unit,each,102.0700,102.0700,True
456,Just Baked Muffin Blueberry,Bakery,bag x 18 units,18.000000,unit,each,35.8200,35.8200,True
462,Cake Original Crumb,Bakery,case x 4 units,4.000000,unit,each,9.1600,9.1600,True
463,Cake Plain Pound,Bakery,case x 2 units,2.000000,unit,each,4.9800,4.9800,True
465,Cookies Black and White,Bakery,case x 3 units,3.000000,unit,each,8.3700,8.3700,True
467,Danish Blueberry,Bakery,case x 3 units,3.000000,unit,each,6.8700,6.8700,True
470,Danish Raspberry,Bakery,case x 4 units,4.000000,unit,each,9.1600,9.1600,True
472,Scone Chocolate Chip Scone,Bakery,case x 2 units,2.000000,unit,each,5.3800,5.3800,True
473,Turnover Apple Case 2,Bakery,case x 2 units,2.000000,unit,each,4.5800,4.5800,True
512,Cinnamon Bun Pecan Sticky,Bakery,case x 6 units,6.000000,unit,each,12.6900,12.6900,True
513,Cinnamon Bun with Icing,Bakery,tray x 6 units,6.000000,unit,each,9.7300,9.7300,True
