id,name,category,conversion_factor,purchase_unit,usage_unit,canonical_unit,purchase_price,current_price,yield_percentage
408,C'Est Gourmet - Souffle - Spinach & Cheese (4.75 Oz.),Bakery,,case,,,106.6400,106.6400,
409,C'Est Gourmet - Turnover - Blueberry Turnover,Bakery,,case,,,132.4800,132.4800,
410,C'Est Gourmet - Turnover - Peach,Bakery,,case,,,124.3200,124.3200,
411,C'Est Gourmet Kouign Amann,Bakery,,case,,,84.1500,84.1500,
605,Califia - Milk Oat Barista - 32 Fl. Oz. - 12/Case,Specialty Milks,,Case,,,31.5000,31.5000,
606,Casa Solana - Guacamole Fresh Pico Blend Packaged,Ingredients,,Case,,,51.6900,51.6900,
265,Celsius Rte Energy - Berry Wild,Beverages,,case,,,26.7500,26.7500,
266,Celsius Rte Energy - Kiwi Guava,Beverages,,case,,,23.0900,23.0900,
608,"Chicopee - Wiper Towel Pink Diamond 11.5"" X 24"" Dry",Cleaning Supplies,,Case,,,39.9900,39.9900,
609,Cholula - Sauce Hot Portion Control,Ingredients,,Case,,,15.9900,15.9900,
610,Cucina Viva - Balsamic Glaze,Ingredients,,Case,,,45.4300,45.4300,
436,Cusanos - Brownie,Bakery,,case,,,21.6100,21.6100,
439,Cusanos Bagel Jalapeno Cheddar Sliced,Bakery,,case,,,16.9800,16.9800,
442,Cusanos Ciabatta Med,Bakery,,case,,,13.9800,13.9800,
444,Cusanos Muffin - Rasp. Lemon Sugar Tulip,Bakery,,case,,,23.0500,23.0500,
445,Cusanos Quesito Lg Ind,Bakery,,case,,,33.0800,33.0800,
611,David'S Cookies - Muffin Blueberry Thaw N Serve,Bakery,,Case,,,19.3900,19.3900,
612,David'S Cookies - Muffin Cranberry Orange Thaw & Serve,Bakery,,Case,,,17.4500,17.4500,
270,David'S Cookies - Muffin Pumpkin Cheese (Thaw & Serve),Bakery,,case,,,17.4500,17.4500,
613,Domino - Sugar Packet Cane,Ingredients,,Case,,,44.6900,44.6900,
615,Fanale - Topping - Coconut Jelly,Ingredients,,Unit,,,26.4900,26.4900,
