id,name,category,conversion_factor,purchase_unit,usage_unit,canonical_unit,purchase_price,current_price,yield_percentage
105,Vanilla Eclair,bakery,72.000000,Case x 72,unit,unit,28.4900,28.4900,1.000
84,Apple Butter Danish,bakery,60.000000,case,unit,unit,92.2100,92.2100,1.000
91,Apple Square Danish,bakery,60.000000,case,unit,unit,92.2100,92.2100,1.000
75,All Butter Croissant,bakery,50.000000,unit,unit,unit,53.9400,53.9400,1.000
167,All Butter Curved Croissant,bakery,50.000000,case,unit,unit,53.9400,53.9400,1.000
76,Almond Croissant,bakery,50.000000,case,unit,unit,56.6300,56.6300,1.000
449,Bindi - Croissant - Cream Filled - (3.35 Oz.),Bakery,50.000000,case,unit,,56.8700,56.8700,1.000
5,Cheese Cheddar Sliced,dairy,50.000000,case,unit,unit,41.6500,41.6500,1.000
248,Bindi - Croissant - Glazed Pistachio - (85 G),Bakery,40.000000,case,unit,,45.2200,45.2200,1.000
399,Bindi - Croissant Plain Vegan - (2.64 Oz.),Bakery,40.000000,case,unit,,56.9500,56.9500,1.000
246,Bindi - Ciabattina Rustica - (4.2 Oz.),Bakery,34.000000,case,unit,,39.4500,39.4500,1.000
10,Chocolate Gelato,dairy,28.350000,case,unit,unit,204.1600,204.1600,1.000
9,Vanilla Gelato,dairy,28.350000,case,g,unit,222.9700,222.9700,1.000
