ingredient_name,manufacturer_name,distributor_name,recipe_unit,purchase_qty,recipe_qty,notes
Natalie's Pineapple Cucumber and Celery,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Energy Drink Celsius Orange,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Energy Drink Celsius Watermelon,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Energy Drink Celsius Mango Lemonade,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Energy Drink Celsius Peach Vibe,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Energy Drink Celsius Tropical Vibe,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Energy Drink Celsius Wildberry,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Energy Drink Celsius Artic Vibe,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Energy Drink Celsius Kiwi Giava,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Energy Drink Celsuis Strawberry Lemonade,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Water Bottle Smart,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Flavored Water Mango Pineapple Splash,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
Espresso,,,g,1,2268.0,1 Bag 5 lb = 2268.0 g (from raw/ingredients.xlsx)
Ice Cubes,,,g,1,3785.0,1 1 gal = 3785.0 g (from raw/ingredients.xlsx)
Whipped Cream,,,g,1,397.0,1 Can 14 oz = 397.0 g (from raw/ingredients.xlsx)
Pepper,,,oz,1,80.0,1 Bag 5 lb = 80.0 oz (from raw/ingredients.xlsx)
Salt,,,oz,1,400.0,1 Case 25 lb = 400.0 oz (from raw/ingredients.xlsx)
Brewed Tea,,,ml,1,11356.0,1 3 gal = 11356.0 ml (from raw/ingredients.xlsx)
Cappuccino Foam,,,ml,1,3785.0,1 1 gal = 3785.0 ml (from raw/ingredients.xlsx)
Cold Foam Coconut,,,ml,1,11356.0,1 Case 12 × 32 oz = 11356.0 ml (from raw/ingredients.xlsx)
Tiramisu Toasted Almond,,,unit,1,1.0,1 Case 20 units = 1.0 unit (from raw/ingredients.xlsx)
All Butter Curved Croissant,,,unit,1,1.0,1 unit = 1.0 unit (from raw/ingredients.xlsx)
All Butter Curved Mini Croissant,,,unit,1,1.0,1 Case 150 units = 1.0 unit (from raw/ingredients.xlsx)
Vegan Croissant,,,unit,1,1.0,1 Case 48 units = 1.0 unit (from raw/ingredients.xlsx)
Multigrain Muffin,,,unit,1,1.0,1 Case 20 units = 1.0 unit (from raw/ingredients.xlsx)
Strawberry Sprint,,,g,1,1000.0,1 Case 8 units = 1000.0 g (from raw/ingredients.xlsx)
White Base Sprint,,,g,1,1000.0,1 Case 12 units = 1000.0 g (from raw/ingredients.xlsx)
Pineapple Syrup,,,ml,1,1000.0,1 Case 12 units = 1000.0 ml (from raw/ingredients.xlsx)
Avocado Cheesecake,,,unit,1,1.0,1 Case 8 units = 1.0 unit (from raw/ingredients.xlsx)
Chocolate Mousse Glass,,,unit,1,1.0,1 Case 12 units = 1.0 unit (from raw/ingredients.xlsx)
Chocolate Truffle Cake,,,unit,1,1.0,1 Case 12 units = 1.0 unit (from raw/ingredients.xlsx)
Blueberry and Chocolate Chips Vegan Croissant,,,unit,1,1.0,1 Case 48 units = 1.0 unit (from raw/ingredients.xlsx)
Raspberry Passion Fruit Cake,,,unit,1,1.0,1 Case 12 units = 1.0 unit (from raw/ingredients.xlsx)
Sicilian Cannoli,,,unit,1,1.0,1 Case 10 units = 1.0 unit (from raw/ingredients.xlsx)
Pistachio Profiteroles,,,unit,1,1.0,1 Case 8 units = 1.0 unit (from raw/ingredients.xlsx)
Traditional Cheesecake,,,unit,1,1.0,1 Case 14 units = 1.0 unit (from raw/ingredients.xlsx)
Truffle Royale Cake,,,unit,1,1.0,1 Case 14 units = 1.0 unit (from raw/ingredients.xlsx)
Muffin Classico,,,unit,1,1.0,1 Case 20 units = 1.0 unit (from raw/ingredients.xlsx)
Chocolate Sprint,,,unit,1,1.0,1 Case 12 units = 1.0 unit (from raw/ingredients.xlsx)
Lemon Blueberry Crumb Cheesecake,,,unit,1,1.0,1 Case 16 units = 1.0 unit (from raw/ingredients.xlsx)
Espresso,,,shot,1,7.0,7g ground coffee per espresso shot (standard barista dose)
Almond Milk,,,oz,1,29.57,fl oz → ml
Brewed Coffee,,,oz,1,29.57,fl oz → ml
