ingredient_name,manufacturer_name,distributor_name,list_price,qargo_price,currency_code,price_unit,valid_from,source,created_by
Cake Torta Nocciola,Bindi,,39.77,39.77,USD,per case,2026-03-21,bindi_products_db_2026,etl_migration_2026
Cake Torta Nocciola,Bindi,French Bakery,35.5,35.5,USD,per case,2026-03-22,bindi_products_db_2026,etl_migration_2026
Cake Torta Nocciola,Bindi,Greco & Sons,39.99,39.77,USD,per case,2026-03-23,bindi_products_db_2026,etl_migration_2026
Cake Torta Nocciola,Bindi,Pointe Dairy,39.77,39.77,USD,per case,2026-03-24,bindi_products_db_2026,etl_migration_2026
Cake Torta Nocciola,Bindi,Food Related,39.09,39.09,USD,per case,2026-03-25,bindi_products_db_2026,etl_migration_2026
Tiramisu Toasted Almond,Bindi,Food Related,36.17,36.17,USD,per case,2026-03-26,bindi_products_db_2026,etl_migration_2026
Tiramisu With Ladyfingers,Bindi,Food Related,40.66,40.66,USD,per case,2026-04-01,bindi_products_db_2026,etl_migration_2026
Tiramisu,Bindi,Food Related,39.84,34.27,USD,per case,2026-04-04,bindi_products_db_2026,etl_migration_2026
Tiramisu With Ladyfingers,Bindi,,46.13,46.13,USD,per case,2026-04-07,bindi_products_db_2026,etl_migration_2026
Tiramisu With Ladyfingers,Bindi,French Bakery,48.75,46.13,USD,per case,2026-04-08,bindi_products_db_2026,etl_migration_2026
Tiramisu With Ladyfingers,Bindi,Pointe Dairy,40.66,40.66,USD,per case,2026-04-09,bindi_products_db_2026,etl_migration_2026
Pinsa Margherita,Bindi,Food Related,64.24,64.24,USD,per case,2026-04-12,bindi_products_db_2026,etl_migration_2026
Pinsa Margherita,Bindi,,64.2,64.2,USD,per case,2026-04-13,bindi_products_db_2026,etl_migration_2026
Truffle Royale Cake,Bindi,Pointe Dairy,44.5,40.73,USD,per case,2026-04-14,bindi_products_db_2026,etl_migration_2026
Chocolate Truffle Cake,Bindi,Pointe Dairy,107.52,40.73,USD,per case,2026-04-15,bindi_products_db_2026,etl_migration_2026
Muffin Classico,Bindi,Food Related,33.73,33.73,USD,per case,2026-04-27,bindi_products_db_2026,etl_migration_2026
Multigrain Muffin,Bindi,Pointe Dairy,33.73,33.73,USD,per case,2026-04-28,bindi_products_db_2026,etl_migration_2026
Chocolate Mousse Glass,Bindi,Pointe Dairy,53.66,53.66,USD,per case,2026-05-03,bindi_products_db_2026,etl_migration_2026
Tiramisu,Bindi,French Bakery,40.95,40.95,USD,per case,2026-05-04,bindi_products_db_2026,etl_migration_2026
Tiramisu,Bindi,IGF,41.06,41.06,USD,per case,2026-05-05,bindi_products_db_2026,etl_migration_2026
Cappuccino Cake,Bindi,,42.42,42.42,USD,per case,2026-05-06,bindi_products_db_2026,etl_migration_2026
Cappuccino Cake,Bindi,French Bakery,40.95,40.95,USD,per case,2026-05-07,bindi_products_db_2026,etl_migration_2026
Cappuccino Cake,Bindi,Primizie,42.42,42.42,USD,per case,2026-05-08,bindi_products_db_2026,etl_migration_2026
Cappuccino Cake,Bindi,Food Related,48.98,42.42,USD,per case,2026-05-09,bindi_products_db_2026,etl_migration_2026
All Butter Curved Mini Croissant,Bindi,French Bakery,71.76,71.76,USD,per case,2026-05-14,bindi_products_db_2026,etl_migration_2026
All Butter Curved Mini Croissant,Bindi,Food Related,77.59,77.59,USD,per case,2026-05-15,bindi_products_db_2026,etl_migration_2026
Brownie Cheesecake,Bindi,French Bakery,54.6,53.4,USD,per case,2026-05-18,bindi_products_db_2026,etl_migration_2026
